"","ID","sexage","events2019-celanoc","events2020-celanoc","events2021-celanoc","events2019","events2020","events2021","events","events-celanoc","minutes2019","minutes2020","minutes2021","minutes","inter2019","inter2020","inter2021","interactions","years","days2019","days2020","days2021","days","interactions_relative","activity_relative","interactions2s","interactions5s","interactions10s","index1","index2"
"1","ID001","FAY",609,NA,NA,232,NA,NA,232,609,2.5,NA,NA,NA,231,NA,NA,231,1,35,NA,NA,35,6.6,17.4,35,113,231,2.03508771929825,-3.12555935870081
"2","ID002","FAO",341,23,124,216,15,91,322,488,44,6.27,27.28,NA,106,3,145,254,3,42,8,22,72,3.52777777777778,6.77777777777778,44,114,254,2.8,-1.5957347972973
"3","ID003","FAO",NA,381,NA,NA,285,NA,285,381,NA,92.49,NA,NA,NA,267,NA,267,1,NA,40,NA,40,6.675,9.525,40,118,267,2.39495798319328,-2.40581883091074
"4","ID004","FAO",191,136,NA,129,118,NA,247,327,23.9,138.05,NA,NA,42,51,NA,93,2,44,13,NA,57,1.63157894736842,5.73684210526316,20,42,93,5.74418604651163,4.29263729572596
"5","ID005","FAO",241,NA,NA,178,NA,NA,178,241,110.3,NA,NA,NA,36,NA,NA,36,1,38,NA,NA,38,0.947368421052632,6.3421052631579,7,20,36,8.47619047619048,9.75664615508365
"6","ID006","FAO",384,NA,NA,275,NA,NA,275,384,65,NA,NA,NA,50,NA,NA,50,1,42,NA,NA,42,1.19047619047619,9.14285714285714,11,24,50,11,14.8042652027027
"7","ID007","FAO",18,NA,NA,14,NA,NA,14,18,1.4,NA,NA,NA,0,NA,NA,0,1,3,NA,NA,3,0,6,0,0,0,14,20.8042652027027
"8","ID008","FAO",NA,3,26,NA,3,22,25,29,NA,0.02,28.73,NA,NA,1,2,3,2,NA,3,4,7,0.428571428571429,4.14285714285714,0,0,3,25,42.8042652027027
"9","ID009","FAO",NA,30,73,NA,27,58,85,103,NA,28,46.9,NA,NA,27,64,91,2,NA,9,21,30,3.03333333333333,3.43333333333333,18,53,91,1.57407407407407,-4.04758664914915
"10","ID010","FAY",475,NA,NA,164,NA,NA,164,475,17.9,NA,NA,NA,112,NA,NA,112,1,24,NA,NA,24,4.66666666666667,19.7916666666667,20,53,112,3.03703703703704,-1.12166072322322
"11","ID011","FAY",30,NA,NA,20,NA,NA,20,30,68.2,NA,NA,NA,3,NA,NA,3,1,4,NA,NA,4,0.75,7.5,0,0,3,20,32.8042652027027
"12","ID012","FAO",24,99,NA,24,85,NA,109,123,34.5,106.22,NA,NA,0,31,NA,31,2,2,5,NA,7,4.42857142857143,17.5714285714286,3,13,31,7.78571428571429,8.37569377413128
"13","ID013","FAO",130,128,141,111,106,126,343,399,70.1,104.41,67.39,NA,50,39,53,142,3,29,22,43,94,1.51063829787234,4.24468085106383,22,71,142,4.76388888888889,2.33204298048048
"14","ID014","FAO",3,75,5,3,65,5,73,83,2.6,47.75,0.18,NA,2,3,8,13,3,1,10,3,14,0.928571428571429,5.92857142857143,2,8,13,8.11111111111111,9.02648742492492
"15","ID015","FAY",69,31,20,52,24,15,91,120,75.6,214.63,0.47,NA,14,19,15,48,3,26,1,8,35,1.37142857142857,3.42857142857143,11,23,48,3.79166666666667,0.387598536036036
"16","ID016","FAY",753,NA,NA,536,NA,NA,536,753,83.2,NA,NA,NA,177,NA,NA,177,1,45,NA,NA,45,3.93333333333333,16.7333333333333,30,68,177,7.76811594202899,8.34049708676067
"17","ID017","FAY",97,14,3,86,13,3,102,114,78.5,130.32,0.48,NA,51,10,0,61,3,33,4,2,39,1.56410256410256,2.92307692307692,15,32,61,3.09090909090909,-1.01391661547912
"18","ID018","FAO",NA,22,19,NA,17,14,31,41,NA,49.24,5.32,NA,NA,3,18,21,2,NA,7,8,15,1.4,2.73333333333333,4,11,21,2.58333333333333,-2.02906813063063
"19","ID019","FAO",87,9,101,72,7,72,151,197,3.7,0.02,15.65,NA,99,1,64,164,3,14,7,44,65,2.52307692307692,3.03076923076923,27,74,164,2.01333333333333,-3.16906813063063
"20","ID020","FAO",NA,122,391,NA,41,281,322,513,NA,4.94,56.65,NA,NA,44,104,148,2,NA,7,51,58,2.55172413793103,8.8448275862069,28,64,148,4.95384615384615,2.71195751039501
"21","ID021","FAO",604,NA,NA,351,NA,NA,351,604,119.8,NA,NA,NA,53,NA,NA,53,1,19,NA,NA,19,2.78947368421053,31.7894736842105,13,22,53,15.2608695652174,23.3260043331375
"22","ID022","FAO",30,NA,NA,16,NA,NA,16,30,0.4,NA,NA,NA,3,NA,NA,3,1,5,NA,NA,5,0.6,6,1,1,3,8,8.8042652027027
"23","ID023","FAO",5,NA,NA,5,NA,NA,5,5,2.3,NA,NA,NA,0,NA,NA,0,1,1,NA,NA,1,0,5,0,0,0,5,2.8042652027027
"24","ID024","FAO",NA,1,6,NA,1,3,4,7,NA,0.02,0.02,NA,NA,0,3,3,2,NA,1,3,4,0.75,1.75,0,1,3,2,-3.1957347972973
"25","ID026","FAY",96,NA,NA,76,NA,NA,76,96,29.6,NA,NA,NA,10,NA,NA,10,1,6,NA,NA,6,1.66666666666667,16,1,1,10,38,68.8042652027027
"26","ID027","FAO",NA,285,96,NA,233,74,307,381,NA,64.9,13.71,NA,NA,83,41,124,2,NA,24,32,56,2.21428571428571,6.80357142857143,19,55,124,5.48214285714286,3.76855091698842
"27","ID029","FAY",282,NA,NA,161,NA,NA,161,282,22.4,NA,NA,NA,138,NA,NA,138,1,37,NA,NA,37,3.72972972972973,7.62162162162162,25,61,138,2.59677419354839,-2.00218641020052
"28","ID030","FAO",NA,182,58,NA,121,39,160,240,NA,41.05,2.34,NA,NA,88,79,167,2,NA,34,21,55,3.03636363636364,4.36363636363636,34,91,167,1.73913043478261,-3.71747392773208
"29","ID031","FAY",69,NA,NA,46,NA,NA,46,69,62.6,NA,NA,NA,27,NA,NA,27,1,13,NA,NA,13,2.07692307692308,5.30769230769231,4,11,27,3.83333333333333,0.47093186936937
"30","ID032","FAY",137,376,NA,83,195,NA,278,513,44,78.14,NA,NA,35,174,NA,209,2,17,28,NA,45,4.64444444444445,11.4,45,109,209,2.52727272727273,-2.14118934275184
"31","ID033","FAO",NA,58,132,NA,49,119,168,190,NA,25.39,67.25,NA,NA,147,81,228,2,NA,18,41,59,3.86440677966102,3.22033898305085,47,114,228,1.46086956521739,-4.27399566686252
"32","ID034","FAY",287,NA,NA,246,NA,NA,246,287,19.6,NA,NA,NA,216,NA,NA,216,1,31,NA,NA,31,6.96774193548387,9.25806451612903,41,100,216,2.43564356435644,-2.32444766858443
"33","ID035","FAY",72,NA,NA,61,NA,NA,61,72,49.2,NA,NA,NA,10,NA,NA,10,1,23,NA,NA,23,0.434782608695652,3.1304347826087,2,6,10,8.71428571428571,10.2328366312741
"34","ID036","FAO",16,NA,NA,14,NA,NA,14,16,58.1,NA,NA,NA,0,NA,NA,0,1,3,NA,NA,3,0,5.33333333333333,0,0,0,14,20.8042652027027
"35","ID037","FAO",161,169,80,84,130,64,278,410,35.8,30.03,5.36,NA,91,94,104,289,3,16,25,21,62,4.66129032258065,6.61290322580645,56,147,289,1.87837837837838,-3.43897804054054
"36","ID038","FAO",NA,136,184,NA,86,147,233,320,NA,92.72,82.85,NA,NA,31,89,120,2,NA,24,54,78,1.53846153846154,4.1025641025641,27,65,120,3.53030303030303,-0.135128736691237
"37","ID039","FAO",NA,149,NA,NA,121,NA,121,149,NA,42.34,NA,NA,NA,59,NA,59,1,NA,20,NA,20,2.95,7.45,8,27,59,4.32142857142857,1.44712234555985
"38","ID040","FAO",777,378,NA,329,286,NA,615,1155,121.4,94.31,NA,NA,119,211,NA,330,2,39,35,NA,74,4.45945945945946,15.6081081081081,41,145,330,4.21232876712329,1.22892273694928
"39","ID041","FAY",273,NA,NA,231,NA,NA,231,273,82,NA,NA,NA,64,NA,NA,64,1,38,NA,NA,38,1.68421052631579,7.18421052631579,17,28,64,7.96551724137931,8.73529968546132
"40","ID042","FAO",241,4,11,177,3,10,190,256,127.2,0.02,0.17,NA,63,0,4,67,3,50,3,8,61,1.09836065573771,4.19672131147541,14,36,67,5.13513513513514,3.07453547297297
"41","ID044","FAO",220,74,78,169,55,59,283,372,67.7,18.29,32.11,NA,56,23,50,129,3,43,17,37,97,1.32989690721649,3.83505154639175,20,59,129,4.71666666666667,2.23759853603604
"42","ID045","FAO",95,206,174,72,176,133,381,475,5.7,70.62,46.74,NA,34,112,113,259,3,16,30,28,74,3.5,6.41891891891892,55,124,259,3.048,-1.0997347972973
"43","ID046","FAY",580,126,227,127,102,190,419,933,5.7,34.35,81.18,NA,132,73,179,384,3,19,23,44,86,4.46511627906977,10.8488372093023,65,174,384,2.39428571428571,-2.40716336872587
"44","ID047","FAO",NA,252,202,NA,193,174,367,454,NA,63.37,62.58,NA,NA,169,84,253,2,NA,26,51,77,3.28571428571429,5.8961038961039,43,116,253,3.13675213675214,-0.922230523793024
"45","ID048","FAO",31,24,NA,11,23,NA,34,55,0.5,6.15,NA,NA,0,12,NA,12,2,9,4,NA,13,0.923076923076923,4.23076923076923,2,7,12,4.25,1.3042652027027
"46","ID049","FAY",166,NA,NA,133,NA,NA,133,166,2.7,NA,NA,NA,111,NA,NA,111,1,34,NA,NA,34,3.26470588235294,4.88235294117647,13,57,111,2.29310344827586,-2.60952790074557
"47","ID050","FAO",77,9,28,56,7,25,88,114,12.3,0.74,28.65,NA,23,2,21,46,3,16,2,11,29,1.58620689655172,3.93103448275862,8,18,46,4.63157894736842,2.06742309743954
"48","ID051","FAY",240,NA,NA,206,NA,NA,206,240,71.3,NA,NA,NA,76,NA,NA,76,1,39,NA,NA,39,1.94871794871795,6.15384615384615,12,35,76,5.72222222222222,4.24870964714715
"49","ID052","FAO",35,NA,NA,1,NA,NA,1,35,0,NA,NA,NA,0,NA,NA,0,1,1,NA,NA,1,0,35,0,0,0,1,-5.1957347972973
"50","ID054","FAY",89,NA,NA,59,NA,NA,59,89,52.6,NA,NA,NA,54,NA,NA,54,1,10,NA,NA,10,5.4,8.9,10,31,54,1.84375,-3.5082347972973
"51","ID055","FAO",NA,18,13,NA,12,12,24,31,NA,3.29,1.71,NA,NA,39,5,44,2,NA,5,8,13,3.38461538461538,2.38461538461538,7,15,44,1.5,-4.1957347972973
"52","ID056","FAO",340,NA,NA,242,NA,NA,242,340,94,NA,NA,NA,34,NA,NA,34,1,30,NA,NA,30,1.13333333333333,11.3333333333333,6,18,34,12.7368421052632,18.277949413229
"53","ID057","FAO",75,9,1,54,5,1,60,85,56.4,0.43,0.02,NA,9,0,0,9,3,18,2,1,21,0.428571428571429,4.04761904761905,1,2,9,20,32.8042652027027
"54","ID058","FAO",NA,20,1560,NA,18,62,80,1580,NA,67.82,19.65,NA,NA,16,12,28,2,NA,3,22,25,1.12,63.2,4,9,28,8,8.8042652027027
"55","ID060","FAY",219,NA,NA,131,NA,NA,131,219,45,NA,NA,NA,55,NA,NA,55,1,14,NA,NA,14,3.92857142857143,15.6428571428571,12,22,55,5.69565217391304,4.19556955052879
"56","ID061","FAO",40,NA,NA,14,NA,NA,14,40,38.6,NA,NA,NA,7,NA,NA,7,1,4,NA,NA,4,1.75,10,1,3,7,3.5,-0.195734797297297
"57","ID062","FAY",99,NA,NA,59,NA,NA,59,99,20.8,NA,NA,NA,43,NA,NA,43,1,15,NA,NA,15,2.86666666666667,6.6,6,19,43,2.95,-1.2957347972973
"58","ID063","FAO",262,27,65,182,14,38,234,354,111.2,0.58,25.2,NA,54,26,17,97,3,48,6,23,77,1.25974025974026,4.5974025974026,16,44,97,5.2,3.2042652027027
"59","ID064","FAO",217,91,180,154,70,138,362,488,95.5,42.6,48.1,NA,41,23,59,123,3,41,24,55,120,1.025,4.06666666666667,26,65,123,5.48484848484848,3.77396217239967
"60","ID065","FAO",10,NA,NA,8,NA,NA,8,10,0.9,NA,NA,NA,1,NA,NA,1,1,1,NA,NA,1,1,10,0,0,1,8,8.8042652027027
"61","ID066","FAY",59,NA,NA,41,NA,NA,41,59,93.7,NA,NA,NA,9,NA,NA,9,1,11,NA,NA,11,0.818181818181818,5.36363636363636,1,4,9,8.2,9.2042652027027
"62","ID067","FAY",9,NA,NA,6,NA,NA,6,9,0.5,NA,NA,NA,0,NA,NA,0,1,2,NA,NA,2,0,4.5,0,0,0,6,4.8042652027027
"63","ID069","FAY",3,NA,NA,3,NA,NA,3,3,0.7,NA,NA,NA,0,NA,NA,0,1,1,NA,NA,1,0,3,0,0,0,3,-1.1957347972973
"64","ID070","FAY",45,NA,NA,40,NA,NA,40,45,19.2,NA,NA,NA,38,NA,NA,38,1,13,NA,NA,13,2.92307692307692,3.46153846153846,5,16,38,2.35294117647059,-2.48985244435612
"65","ID071","FAO",73,56,28,61,41,24,126,157,58.2,52.55,38.14,NA,38,13,9,60,3,34,14,9,57,1.05263157894737,2.75438596491228,14,25,60,4.84615384615385,2.49657289501039
"66","ID072","FAO",82,NA,NA,46,NA,NA,46,82,1.3,NA,NA,NA,23,NA,NA,23,1,21,NA,NA,21,1.0952380952381,3.9047619047619,4,12,23,3.53846153846154,-0.118811720374221
"67","ID073","FAO",326,NA,NA,155,NA,NA,155,326,41.7,NA,NA,NA,64,NA,NA,64,1,33,NA,NA,33,1.93939393939394,9.87878787878788,12,33,64,4.55882352941176,1.92191226152623
"68","ID074","FAO",NA,223,387,NA,169,273,442,610,NA,63.91,75.63,NA,NA,167,143,310,2,NA,22,54,76,4.07894736842105,8.02631578947369,69,165,310,2.66265060240964,-1.87043359247802
"69","ID081","FAY",168,NA,NA,134,NA,NA,134,168,47.9,NA,NA,NA,75,NA,NA,75,1,32,NA,NA,32,2.34375,5.25,15,40,75,3.26829268292683,-0.659149431443639
"70","ID082","FAO",231,309,66,181,145,47,373,606,77,42.88,52.83,NA,115,7,24,146,3,37,7,29,73,2,8.3013698630137,19,64,146,5.73846153846154,4.28118827962578
"71","ID083","FAO",82,NA,NA,49,NA,NA,49,82,22.2,NA,NA,NA,11,NA,NA,11,1,26,NA,NA,26,0.423076923076923,3.15384615384615,3,6,11,7,6.8042652027027
"72","ID084","FAY",196,NA,NA,143,NA,NA,143,196,67.7,NA,NA,NA,49,NA,NA,49,1,40,NA,NA,40,1.225,4.9,7,25,49,5.5,3.8042652027027
"73","ID085","FAO",197,NA,24,163,NA,13,176,221,75.2,NA,62.73,NA,21,NA,12,33,2,18,NA,8,26,1.26923076923077,8.5,5,13,33,12.5714285714286,17.9471223455598
"74","ID086","FAO",158,NA,13,122,NA,12,134,171,125.3,NA,5.53,NA,31,NA,40,71,2,20,NA,1,21,3.38095238095238,8.14285714285714,18,37,71,3.52631578947368,-0.143103218349929
"75","ID087","FAO",180,NA,3,158,NA,2,160,183,145.4,NA,0.2,NA,39,NA,0,39,2,19,NA,1,20,1.95,9.15,12,26,39,5.92592592592593,4.65611705455455
"76","ID088","FAO",209,65,274,174,41,194,409,548,49.9,50.15,50.58,NA,29,28,113,170,3,21,13,53,87,1.95402298850575,6.29885057471264,40,93,170,4.35106382978723,1.50639286227717
"77","ID089","FAY",97,NA,NA,76,NA,NA,76,97,76.1,NA,NA,NA,29,NA,NA,29,1,24,NA,NA,24,1.20833333333333,4.04166666666667,2,6,29,10.8571428571429,14.5185509169884
"78","ID092","FAO",114,72,127,96,54,105,255,313,9.1,51.54,79.93,NA,14,38,60,112,3,16,16,50,82,1.36585365853659,3.81707317073171,26,55,112,4.55357142857143,1.91140805984556
"79","ID093","FAO",239,57,61,174,48,43,265,357,40.9,14.98,3.25,NA,31,31,73,135,3,25,5,15,45,3,7.93333333333333,24,53,135,4.90740740740741,2.61908001751752
"80","ID094","FAY",182,130,72,165,108,54,327,384,56.7,27.59,34.18,NA,36,85,40,161,3,17,4,37,58,2.77586206896552,6.62068965517241,38,79,161,4.0875,0.979265202702703
"81","ID095","FAO",177,248,80,134,174,68,376,505,138.7,125.39,126.62,NA,42,60,9,111,3,29,27,34,90,1.23333333333333,5.61111111111111,14,46,111,8,8.8042652027027
"82","ID096","FAO",622,NA,NA,125,NA,NA,125,622,51.3,NA,NA,NA,39,NA,NA,39,1,29,NA,NA,29,1.3448275862069,21.448275862069,2,17,39,6.94444444444444,6.69315409159159
"83","ID097","FAO",81,NA,NA,67,NA,NA,67,81,47.4,NA,NA,NA,18,NA,NA,18,1,14,NA,NA,14,1.28571428571429,5.78571428571429,3,8,18,7.44444444444444,7.69315409159159
"84","ID098","FAO",239,36,NA,189,31,NA,220,275,103,34.93,NA,NA,35,109,NA,144,2,30,8,NA,38,3.78947368421053,7.23684210526316,23,60,144,3.60655737704918,0.0173799568010633
"85","ID099","FAY",274,NA,NA,214,NA,NA,214,274,131.4,NA,NA,NA,57,NA,NA,57,1,23,NA,NA,23,2.47826086956522,11.9130434782609,13,28,57,7.37931034482759,7.56288589235788
"86","ID100","FAO",144,74,26,124,66,17,207,244,76.3,75.16,2.25,NA,35,32,13,80,3,26,15,11,52,1.53846153846154,4.69230769230769,12,37,80,5.44736842105263,3.69900204480797
"87","ID102","FAO",103,428,90,82,269,69,420,621,41.4,85.65,4.26,NA,21,105,57,183,3,17,19,24,60,3.05,10.35,31,66,183,6.26865671641791,5.34157863553852
"88","ID103","FAO",NA,131,175,206,116,145,467,306,NA,46.35,8.06,NA,NA,165,142,307,2,NA,20,48,68,4.51470588235294,4.5,49,145,307,3.1986301369863,-0.798474523324694
"89","ID104","FAO",144,142,294,120,116,264,500,580,88.5,74.75,112.1,NA,31,59,32,122,3,24,16,36,76,1.60526315789474,7.63157894736842,19,48,122,10.2040816326531,13.2124284680088
"90","ID105","FAY",296,NA,NA,164,NA,NA,164,296,80.8,NA,NA,NA,35,NA,NA,35,1,29,NA,NA,29,1.20689655172414,10.2068965517241,6,17,35,9.11111111111111,11.0264874249249
"91","ID106","FAO",92,NA,11,66,NA,10,76,103,35.3,NA,10.7,NA,28,NA,10,38,2,26,NA,5,31,1.2258064516129,3.32258064516129,7,16,38,4.47058823529412,1.74544167329094
"92","ID107","FAY",281,NA,NA,255,NA,NA,255,281,84.1,NA,NA,NA,65,NA,NA,65,1,33,NA,NA,33,1.96969696969697,8.51515151515152,13,34,65,7.28571428571429,7.37569377413127
"93","ID109","FAY",60,NA,NA,47,NA,NA,47,60,2,NA,NA,NA,20,NA,NA,20,1,17,NA,NA,17,1.17647058823529,3.52941176470588,6,12,20,3.61538461538462,0.0350344334719335
"94","ID110","FAO",68,739,NA,42,481,NA,523,807,85.4,120.63,NA,NA,33,205,NA,238,2,13,25,NA,38,6.26315789473684,21.2368421052632,35,112,238,4.6283185840708,2.0609023708443
"95","ID111","FAO",151,NA,NA,72,NA,NA,72,151,4.4,NA,NA,NA,56,NA,NA,56,1,36,NA,NA,36,1.55555555555556,4.19444444444444,5,26,56,2.66666666666667,-1.86240146396396
"96","ID112","FAO",36,67,76,29,53,62,144,179,53.6,44.4,18.61,NA,8,66,49,123,3,13,17,23,53,2.32075471698113,3.37735849056604,21,51,123,2.76923076923077,-1.65727325883576
"97","ID113","FAO",NA,9,32,NA,9,25,34,41,NA,75.03,8.11,NA,NA,1,9,10,2,NA,1,13,14,0.714285714285714,2.92857142857143,2,6,10,4.85714285714286,2.51855091698842
"98","ID114","FAO",134,144,17,104,71,12,187,295,51.5,8.81,23.24,NA,28,17,1,46,3,22,17,8,47,0.978723404255319,6.27659574468085,4,18,46,9.8421052631579,12.4884757290185
"99","ID115","FAO",117,10,NA,83,6,NA,89,127,66.2,0.42,NA,NA,58,1,NA,59,2,13,5,NA,18,3.27777777777778,7.05555555555556,11,28,59,3.06896551724138,-1.05780376281454
"100","ID116","FAO",NA,253,423,82,179,252,513,676,NA,52.9,70.42,NA,NA,69,100,169,2,NA,31,49,80,2.1125,8.45,29,65,169,7.77272727272727,8.34971974815725
"101","ID117","FAY",278,62,NA,150,46,NA,196,340,61.8,167.48,NA,NA,88,1,NA,89,2,39,15,NA,54,1.64814814814815,6.2962962962963,14,42,89,4.55813953488372,1.92054427247014
"102","ID118","FAO",NA,NA,15,NA,NA,13,13,15,NA,NA,57.52,NA,NA,NA,5,5,1,NA,NA,6,6,0.833333333333333,2.5,2,4,5,2.6,-1.9957347972973
"103","ID119","FAY",66,77,256,43,54,188,285,399,35.9,14.47,65.91,NA,21,54,91,166,3,8,15,42,65,2.55384615384615,6.13846153846154,21,75,166,3.75,0.304265202702703
"104","ID120","FAO",447,197,NA,263,157,NA,420,644,85.2,96.69,NA,NA,140,102,NA,242,2,32,34,NA,66,3.66666666666667,9.75757575757576,32,107,242,3.88888888888889,0.58204298048048
"105","ID122","FAO",99,NA,NA,30,NA,NA,30,99,0.7,NA,NA,NA,47,NA,NA,47,1,6,NA,NA,6,7.83333333333333,16.5,7,23,47,1.25,-4.6957347972973
"106","ID123","FAO",NA,127,263,NA,68,199,267,390,NA,73.54,81.54,NA,NA,61,140,201,2,NA,23,55,78,2.57692307692308,5,42,112,201,2.36283185840708,-2.47007108048314
"107","ID124","FAO",167,NA,NA,141,NA,NA,141,167,91.7,NA,NA,NA,37,NA,NA,37,1,31,NA,NA,31,1.19354838709677,5.38709677419355,4,18,37,7.42105263157895,7.6463704658606
"108","ID125","FAY",145,NA,NA,127,NA,NA,127,145,122.2,NA,NA,NA,57,NA,NA,57,1,16,NA,NA,16,3.5625,9.0625,6,14,57,8.46666666666667,9.73759853603604
"109","ID126","FAO",90,184,179,70,159,134,363,453,84.7,80.03,31.97,NA,29,63,32,124,3,17,24,54,95,1.30526315789474,4.76842105263158,25,57,124,6.25862068965517,5.32150658201305
"110","ID129","FAO",208,14,NA,151,10,NA,161,222,110.8,127.36,NA,NA,84,1,NA,85,2,35,6,NA,41,2.07317073170732,5.41463414634146,17,48,85,3.28571428571429,-0.624306225868726
"111","ID130","FAO",162,144,184,121,122,141,384,490,96.1,55.32,63.04,NA,90,49,58,197,3,35,18,50,103,1.9126213592233,4.75728155339806,26,85,197,4.46511627906977,1.73449776084224
"112","ID131","FAY",4,NA,NA,4,NA,NA,4,4,98.9,NA,NA,NA,0,NA,NA,0,1,1,NA,NA,1,0,4,0,0,0,4,0.804265202702703
"113","ID132","FAY",29,NA,10,29,NA,10,39,39,6.2,NA,0.67,NA,8,NA,0,8,2,2,NA,1,3,2.66666666666667,13,0,3,8,9.75,12.3042652027027
"114","ID133","FAO",10,467,NA,10,396,NA,406,477,2,117.55,NA,NA,0,161,NA,161,2,3,26,NA,29,5.55172413793104,16.448275862069,32,85,161,4.72093023255814,2.24612566781898
"115","ID135","JUV",3,NA,NA,2,NA,NA,2,3,0.1,NA,NA,NA,0,NA,NA,0,1,1,NA,NA,1,0,3,0,0,0,2,-3.1957347972973
"116","ID136","JUV",41,NA,NA,38,NA,NA,38,41,8.6,NA,NA,NA,23,NA,NA,23,1,6,NA,NA,6,3.83333333333333,6.83333333333333,4,10,23,3.45454545454545,-0.286643888206388
"117","ID137","JUV",82,NA,NA,75,NA,NA,75,82,52,NA,NA,NA,32,NA,NA,32,1,12,NA,NA,12,2.66666666666667,6.83333333333333,4,14,32,5,2.8042652027027
"118","ID138","JUV",89,NA,NA,68,NA,NA,68,89,34.9,NA,NA,NA,2,NA,NA,2,1,8,NA,NA,8,0.25,11.125,0,1,2,34,60.8042652027027
"119","ID139","JUV",185,NA,NA,149,NA,NA,149,185,60.3,NA,NA,NA,37,NA,NA,37,1,13,NA,NA,13,2.84615384615385,14.2307692307692,7,18,37,7.8421052631579,8.48847572901849
"120","ID140","JUV",91,NA,NA,72,NA,NA,72,91,55.6,NA,NA,NA,37,NA,NA,37,1,17,NA,NA,17,2.17647058823529,5.35294117647059,9,17,37,4,0.804265202702703
"121","ID142","JUV",60,NA,NA,51,NA,NA,51,60,52.8,NA,NA,NA,64,NA,NA,64,1,10,NA,NA,10,6.4,6,12,31,64,1.59375,-4.0082347972973
"122","ID143","FAO",11,313,140,6,242,117,365,464,0.6,126.86,133.29,NA,1,33,18,52,3,3,23,36,62,0.838709677419355,7.48387096774194,9,25,52,14.0384615384615,20.8811882796258
"123","ID144","FAO",NA,NA,19,NA,NA,17,17,19,NA,NA,75.13,NA,NA,NA,18,18,1,NA,NA,8,8,2.25,2.375,6,10,18,1.54545454545455,-4.10482570638821
