ID,sexage,events,cooccurrences5s
ID001,FAY,232,113
ID002,FAO,322,114
ID003,FAO,285,118
ID004,FAO,247,42
ID005,FAO,178,20
ID006,FAO,275,24
ID007,FAO,14,0
ID008,FAO,25,0
ID009,FAO,85,53
ID010,FAY,164,53
ID011,FAY,20,0
ID012,FAO,109,13
ID013,FAO,343,71
ID014,FAO,73,8
ID015,FAY,91,23
ID016,FAY,536,68
ID017,FAY,102,32
ID018,FAO,31,11
ID019,FAO,151,74
ID020,FAO,322,64
ID021,FAO,351,22
ID022,FAO,16,1
ID023,FAO,5,0
ID024,FAO,4,1
ID026,FAY,76,1
ID027,FAO,307,55
ID029,FAY,161,61
ID030,FAO,160,91
ID031,FAY,46,11
ID032,FAY,278,109
ID033,FAO,168,114
ID034,FAY,246,100
ID035,FAY,61,6
ID036,FAO,14,0
ID037,FAO,278,147
ID038,FAO,233,65
ID039,FAO,121,27
ID040,FAO,615,145
ID041,FAY,231,28
ID042,FAO,190,36
ID044,FAO,283,59
ID045,FAO,381,124
ID046,FAY,419,174
ID047,FAO,367,116
ID048,FAO,34,7
ID049,FAY,133,57
ID050,FAO,88,18
ID051,FAY,206,35
ID052,FAO,1,0
ID054,FAY,59,31
ID055,FAO,24,15
ID056,FAO,242,18
ID057,FAO,60,2
ID058,FAO,80,9
ID060,FAY,131,22
ID061,FAO,14,3
ID062,FAY,59,19
ID063,FAO,234,44
ID064,FAO,362,65
ID065,FAO,8,0
ID066,FAY,41,4
ID067,FAY,6,0
ID069,FAY,3,0
ID070,FAY,40,16
ID071,FAO,126,25
ID072,FAO,46,12
ID073,FAO,155,33
ID074,FAO,442,165
ID081,FAY,134,40
ID082,FAO,373,64
ID083,FAO,49,6
ID084,FAY,143,25
ID085,FAO,176,13
ID086,FAO,134,37
ID087,FAO,160,26
ID088,FAO,409,93
ID089,FAY,76,6
ID092,FAO,255,55
ID093,FAO,265,53
ID094,FAY,327,79
ID095,FAO,376,46
ID096,FAO,125,17
ID097,FAO,67,8
ID098,FAO,220,60
ID099,FAY,214,28
ID100,FAO,207,37
ID102,FAO,420,66
ID103,FAO,467,145
ID104,FAO,500,48
ID105,FAY,164,17
ID106,FAO,76,16
ID107,FAY,255,34
ID109,FAY,47,12
ID110,FAO,523,112
ID111,FAO,72,26
ID112,FAO,144,51
ID113,FAO,34,6
ID114,FAO,187,18
ID115,FAO,89,28
ID116,FAO,513,65
ID117,FAY,196,42
ID118,FAO,13,4
ID119,FAY,285,75
ID120,FAO,420,107
ID122,FAO,30,23
ID123,FAO,267,112
ID124,FAO,141,18
ID125,FAY,127,14
ID126,FAO,363,57
ID129,FAO,161,48
ID130,FAO,384,85
ID131,FAY,4,0
ID132,FAY,39,3
ID133,FAO,406,85
ID135,JUV,2,0
ID136,JUV,38,10
ID137,JUV,75,14
ID138,JUV,68,1
ID139,JUV,149,18
ID140,JUV,72,17
ID142,JUV,51,31
ID143,FAO,365,25
ID144,FAO,17,10
ID145,JUV,121,34
ID146,JUV,186,31
ID147,JUV,11,2
ID148,JUV,27,20
ID149,JUV,28,17
ID150,JUV,95,7
ID151,JUV,94,24
ID152,JUV,77,22
ID153,JUV,74,15
ID154,JUV,37,10
ID155,JUV,112,26
ID156,FAO,125,0
ID157,FAY,100,30
ID158,FAO,54,41
ID160,JUV,65,24
ID161,JUV,21,5
ID162,JUV,21,1
ID164,JUV,49,10
ID165,JUV,54,3
ID166,FAY,114,60
ID168,JUV,23,0
ID169,JUV,37,6
ID170,JUV,14,5
ID171,FAY,58,19
ID173,FAY,8,24
ID174,FAY,92,57
ID175,FAY,157,26
ID176,JUV,14,0
ID177,JUV,190,8
ID178,JUV,3,9
ID179,JUV,44,22
ID182,JUV,3,0
ID183,FAY,238,98
ID184,FAO,86,25
ID186,FAO,119,11
ID187,FAO,23,1
ID188,JUV,1,0
ID191,JUV,45,0
ID192,JUV,15,2
ID193,JUV,4,0
ID195,FAY,51,5
ID198,JUV,15,1
ID199,JUV,21,0
ID201,FAY,97,20
ID202,FAO,1,0
ID205,FAO,193,91
ID206,FAO,222,183
ID208,FAO,482,52
ID210,JUV,5,2
ID212,FAO,7,1
ID213,FAO,21,5
ID216,FAO,29,16
ID217,FAY,29,5
ID218,FAY,171,87
ID219,FAY,5,4
ID223,FAO,22,0
ID225,JUV,19,0
ID227,FAY,67,63
ID228,FAY,150,45
ID229,FAY,145,58
ID232,FAY,3,4
ID236,FAO,10,0
ID238,FAY,106,18
ID244,FAY,61,8
ID246,FAY,11,7
ID249,FAY,109,11
ID254,FAY,6,1
ID256,FAY,530,158
ID261,FAY,89,64
ID280,FAO,123,35
ID281,FAY,166,47
ID282,FAO,66,14
ID291,FAO,217,62
ID292,FAO,206,20
ID293,FAY,638,158
ID295,FAO,15,0
ID296,JUV,29,0
ID297,JUV,66,20
ID298,FAO,35,12
ID299,FAY,186,41
ID301,JUV,189,16
ID302,JUV,49,38
ID303,JUV,173,66
ID304,JUV,6,3
ID305,JUV,63,58
ID306,JUV,148,3
ID307,FAO,107,5
ID308,JUV,160,77
ID309,JUV,131,41
ID310,JUV,98,23
ID312,FAY,174,56
ID313,JUV,29,32
ID314,JUV,203,168
ID315,JUV,53,6
ID316,JUV,196,45
ID317,JUV,135,32
ID318,JUV,155,82
ID319,JUV,828,272
ID320,JUV,24,30
ID321,JUV,49,11
ID322,JUV,64,31
ID323,JUV,49,29
ID324,JUV,54,0
ID325,JUV,36,31
ID326,JUV,111,111
ID327,JUV,105,84
ID328,JUV,16,7
ID329,JUV,111,79
ID330,JUV,141,53
ID331,JUV,132,13
ID332,FAO,4,0
ID333,JUV,36,10
ID334,FAY,70,29
ID335,JUV,20,15
ID336,JUV,196,147
ID337,JUV,1,1
ID338,FAO,6,0
ID339,JUV,17,19
ID340,JUV,22,32
ID341,JUV,43,20
ID343,JUV,14,3
ID345,JUV,33,39
ID346,JUV,1,0
ID349,JUV,205,240
ID350,JUV,54,105
ID352,JUV,10,8
ID356,JUV,60,5
ID359,JUV,26,31
ID360,JUV,1,3
ID361,JUV,6,16
ID365,FAY,141,25
ID367,FAO,28,29
ID370,FAO,64,14
ID374,FAO,34,2
ID375,JUV,15,16
ID378,JUV,36,18
